City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Quesnel,CA,2021-06-06 16:02:05,52.9999,-122.5029,53.58,50,94,3.49
137,Yerbogachen,RU,2021-06-06 16:02:05,61.2767,108.0108,41.61,54,19,9.19
138,Pingliang,CN,2021-06-06 16:02:06,35.5392,106.6861,68.18,44,75,7.02
139,Thompson,CA,2021-06-06 16:02:06,55.7435,-97.8558,68.58,54,100,3.4
140,Jasper,US,2021-06-06 15:58:52,37.2001,-94.3502,78.53,70,75,4.0
141,Samarai,PG,2021-06-06 16:02:07,-10.6167,150.6667,77.74,90,100,17.36
142,Alvaraes,BR,2021-06-06 16:02:07,-3.2208,-64.8042,87.93,56,99,3.89
143,Port Keats,AU,2021-06-06 16:02:08,-14.25,129.55,67.68,36,89,8.19
144,Phuthaditjhaba,ZA,2021-06-06 16:02:08,-28.5242,28.8158,46.26,50,0,2.48
145,Cairns,AU,2021-06-06 16:00:33,-16.9167,145.7667,69.75,83,40,11.5
146,Kodiak,US,2021-06-06 16:02:09,57.79,-152.4072,48.18,75,16,7.49
147,Caravelas,BR,2021-06-06 16:02:09,-17.7125,-39.2481,80.67,61,21,7.65
148,Canchungo,GW,2021-06-06 16:02:09,12.0672,-16.0333,90.97,49,24,13.06
149,Mahanoro,MG,2021-06-06 16:02:10,-19.9,48.8,68.56,85,59,11.79
150,Coihaique,CL,2021-06-06 16:02:10,-45.5752,-72.0662,40.12,93,100,6.51
151,Tignere,CM,2021-06-06 16:02:10,7.3667,12.65,75.02,78,93,4.59
152,Jiexiu,CN,2021-06-06 16:02:11,37.0244,111.9125,79.68,24,100,1.97
153,Hays,US,2021-06-06 16:02:11,30.0502,-98.0336,79.63,87,21,5.01
154,Hithadhoo,MV,2021-06-06 16:00:58,-0.6,73.0833,83.55,71,82,11.86
155,Kruisfontein,ZA,2021-06-06 16:02:12,-34.0033,24.7314,66.88,20,0,6.8
156,Chicama,PE,2021-06-06 16:02:12,-7.8447,-79.1469,72.5,67,72,9.69
157,Kapaa,US,2021-06-06 16:00:55,22.0752,-159.319,75.52,82,75,1.01
158,New Norfolk,AU,2021-06-06 16:00:58,-42.7826,147.0587,51.93,85,100,4.61
159,Tolaga Bay,NZ,2021-06-06 16:02:13,-38.3667,178.3,58.01,82,100,14.85
160,Hermanus,ZA,2021-06-06 16:02:13,-34.4187,19.2345,59.81,45,9,7.25
161,Atuona,PF,2021-06-06 16:02:13,-9.8,-139.0333,79.16,66,68,11.12
162,Fortuna,US,2021-06-06 16:02:14,40.5982,-124.1573,57.92,69,20,3.0
163,Butaritari,KI,2021-06-06 16:02:14,3.0707,172.7902,81.63,75,7,7.25
164,Lagoa,PT,2021-06-06 16:02:14,39.05,-27.9833,64.44,88,99,14.61
165,Norman Wells,CA,2021-06-06 16:02:15,65.282,-126.8329,42.84,93,90,13.8
166,Nantucket,US,2021-06-06 16:02:15,41.2835,-70.0995,86.11,90,9,13.76
167,Isiolo,KE,2021-06-06 16:02:15,0.3546,37.5822,73.27,54,60,12.91
168,Luyang,CN,2021-06-06 16:02:16,27.6239,110.0989,73.72,78,92,1.5
169,Senneterre,CA,2021-06-06 16:02:16,48.3835,-77.2328,72.57,67,92,6.78
170,Buraydah,SA,2021-06-06 16:02:16,26.326,43.975,103.53,7,2,10.49
171,Akyab,MM,2021-06-06 15:58:01,20.15,92.9,84.18,82,79,8.61
172,Lugoba,TZ,2021-06-06 16:02:17,-6.45,38.3333,72.5,66,27,3.04
173,Matamoros,MX,2021-06-06 15:57:26,25.5333,-103.25,86.11,25,2,8.55
174,Westport,US,2021-06-06 16:01:08,41.1415,-73.3579,94.17,51,6,1.01
175,Berlevag,NO,2021-06-06 16:02:18,70.8578,29.0864,42.6,71,7,8.43
176,Faya,SA,2021-06-06 16:01:06,18.3851,42.4509,71.91,56,26,8.99
177,Russell,US,2021-06-06 16:00:14,32.3502,-85.1999,82.11,93,100,1.9
178,Rensvik,NO,2021-06-06 16:02:18,63.1,7.8167,56.86,94,75,12.66
179,Codrington,AU,2021-06-06 16:02:19,-38.2667,141.9667,55.17,72,100,16.84
180,Clyde River,CA,2021-06-06 16:02:19,70.4692,-68.5914,34.03,100,90,12.66
181,Provideniya,RU,2021-06-06 16:02:20,64.3833,-173.3,36.48,74,14,4.83
182,La Ronge,CA,2021-06-06 16:02:20,55.1001,-105.2842,51.37,94,100,7.2
183,Lebu,CL,2021-06-06 16:02:20,-37.6167,-73.65,50.34,70,100,1.34
184,Limbang,MY,2021-06-06 16:02:21,4.75,115.0,80.71,95,100,2.26
185,Namibe,AO,2021-06-06 16:02:21,-15.1961,12.1522,78.22,51,34,6.46
186,La Orilla,MX,2021-06-06 16:02:21,17.9833,-102.2333,88.32,53,56,5.14
187,Waverly,US,2021-06-06 16:02:22,42.7392,-84.6208,86.56,45,1,10.36
188,Kahului,US,2021-06-06 15:59:26,20.8947,-156.47,74.84,80,5,10.0
189,Sao Sebastiao,BR,2021-06-06 16:02:22,-23.76,-45.4097,84.38,42,100,0.67
190,Fuyang,CN,2021-06-06 16:02:23,32.9,115.8167,77.92,52,91,7.11
191,Taltal,CL,2021-06-06 16:01:57,-25.4,-70.4833,64.6,70,0,6.89
192,Kalmunai,LK,2021-06-06 16:02:23,7.4167,81.8167,83.19,74,100,1.28
193,Cedar City,US,2021-06-06 15:59:14,37.6775,-113.0619,79.39,14,4,12.97
194,Yanam,IN,2021-06-06 16:02:23,16.7333,82.2167,82.8,76,16,5.32
195,Haines Junction,CA,2021-06-06 16:02:24,60.7522,-137.5108,48.36,78,80,4.54
196,Krasnoselkup,RU,2021-06-06 16:02:24,65.7,82.4667,39.33,65,97,11.61
197,Sobolevo,RU,2021-06-06 16:02:24,54.4299,31.8996,65.44,79,56,6.82
198,Zavetnoye,RU,2021-06-06 16:02:25,47.1194,43.8903,68.9,60,98,6.89
199,Port Augusta,AU,2021-06-06 16:02:25,-32.5,137.7667,58.71,61,20,11.9
200,Winslow,US,2021-06-06 16:02:26,35.0242,-110.6974,84.38,12,1,4.0
201,Pontes E Lacerda,BR,2021-06-06 16:02:26,-15.2261,-59.3353,94.21,31,55,3.06
202,Tromso,NO,2021-06-06 16:02:26,69.6496,18.957,68.65,41,0,14.97
203,Padang,ID,2021-06-06 15:57:49,-0.9492,100.3543,77.2,83,87,4.32
204,Ghanzi,BW,2021-06-06 16:02:27,-21.5667,21.7833,58.23,38,0,9.24
205,Dingle,PH,2021-06-06 16:02:27,10.9995,122.6711,77.05,84,100,2.57
206,Mogadishu,SO,2021-06-06 16:02:28,2.0371,45.3438,79.5,83,97,21.34
207,Dikson,RU,2021-06-06 16:02:28,73.5069,80.5464,30.72,88,100,11.79
208,Melioratorov,RU,2021-06-06 16:02:28,57.2107,65.6077,73.78,33,0,9.6
209,Nizwa,OM,2021-06-06 16:02:29,22.9333,57.5333,96.15,38,15,13.47
210,Basco,PH,2021-06-06 16:02:30,20.4487,121.9702,82.81,74,100,5.95
211,Harindanga,IN,2021-06-06 16:02:30,22.0383,88.3214,76.98,78,100,15.48
212,Portland,US,2021-06-06 15:59:33,45.5234,-122.6762,53.46,81,100,1.01
213,Kabelvag,NO,2021-06-06 16:02:31,68.2114,14.4817,68.22,39,0,10.36
214,Yar-Sale,RU,2021-06-06 16:02:31,66.8333,70.8333,41.56,54,78,14.38
215,Karoi,ZW,2021-06-06 16:02:32,-16.8099,29.6925,56.26,50,86,5.46
216,Lleida,ES,2021-06-06 16:02:21,41.6167,0.6167,83.95,34,20,5.01
217,Airai,TL,2021-06-06 16:02:32,-8.9266,125.4092,56.39,88,98,2.89
218,Zhanakorgan,KZ,2021-06-06 16:02:32,43.9098,67.2495,87.06,28,36,10.02
219,Beyneu,KZ,2021-06-06 16:00:58,45.3167,55.2,69.71,43,97,11.32
220,Chalus,IR,2021-06-06 16:02:33,36.655,51.4204,72.12,80,31,3.4
221,Aykhal,RU,2021-06-06 16:02:34,66.0,111.5,39.56,87,100,17.9
222,Nytva,RU,2021-06-06 16:02:34,57.9404,55.334,71.49,63,11,6.02
223,Dharchula,IN,2021-06-06 16:02:34,29.85,80.5333,75.24,60,91,3.31
224,Manokwari,ID,2021-06-06 16:02:35,-0.8667,134.0833,78.87,80,97,3.38
225,Codajas,BR,2021-06-06 16:02:35,-3.8367,-62.0569,90.37,52,50,4.32
226,Fukue,JP,2021-06-06 16:02:35,32.6881,128.8419,68.97,81,100,6.11
227,Muros,ES,2021-06-06 16:02:36,42.7762,-9.0603,80.69,54,78,14.25
228,Auki,SB,2021-06-06 16:02:36,-8.7676,160.7034,77.05,86,3,3.4
229,Ormara,PK,2021-06-06 16:02:36,25.2088,64.6357,84.6,74,21,9.04
230,Mahebourg,MU,2021-06-06 15:58:59,-20.4081,57.7,73.69,88,40,6.91
231,Figline Valdarno,IT,2021-06-06 16:02:37,43.6195,11.4693,79.56,67,100,4.27
232,Belmonte,BR,2021-06-06 16:02:37,-15.8631,-38.8828,81.1,65,36,8.72
233,Severo-Kurilsk,RU,2021-06-06 16:02:38,50.6789,156.125,40.44,96,91,12.26
234,Sabha,LY,2021-06-06 16:02:38,27.0377,14.4283,97.45,10,65,13.69
235,Ribeira Grande,PT,2021-06-06 16:02:39,38.5167,-28.7,68.4,83,40,13.8
236,Pisco,PE,2021-06-06 16:02:39,-13.7,-76.2167,63.01,86,76,5.99
237,Klaksvik,FO,2021-06-06 16:02:39,62.2266,-6.589,49.12,92,100,19.22
238,Roald,NO,2021-06-06 16:02:40,62.5833,6.1333,60.17,82,75,9.22
239,Dolores,AR,2021-06-06 16:02:40,-36.3132,-57.6792,55.4,46,52,7.23
240,Pacific Grove,US,2021-06-06 15:57:41,36.6177,-121.9166,58.8,85,62,3.0
241,Aden,YE,2021-06-06 16:00:04,12.7794,45.0367,90.36,62,4,11.68
